
============================================================
  FreshBus Competitor Dashboard — Demo Server
============================================================
  Dashboard : http://localhost:8000
  API docs  : http://localhost:8000/api/docs
  Health    : http://localhost:8000/health
============================================================

INFO:     127.0.0.1:51215 - "GET /api/v1/metrics/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:51215 - "GET /redbus?final=1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51904 - "GET /assets/index-CfCLwUrD.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:51215 - "GET /assets/index-BFrrHu72.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:51215 - "GET /assets/RedbusPage-CEzi7-E1.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51904 - "GET /assets/HeatmapCell-CVOJC_eX.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:50977 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57897 - "GET /assets/x-BZmEiDR5.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:51215 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:57352 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55344 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:55344 - "GET /assets/index-BFrrHu72.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55344 - "GET /assets/index-CfCLwUrD.css HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55344 - "GET /assets/OverviewPage-Dd30VTeU.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55344 - "GET /assets/KPICard-D3xM5g4k.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55344 - "GET /assets/trophy-pwoQbh6F.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55344 - "GET /assets/layers-jj7ADM8d.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:55344 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:55344 - "GET /api/v1/metrics/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:62128 - "GET /assets/AppStorePage-CEp3ROmY.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:53777 - "GET /assets/LineChart-DNOYwKmn.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:64870 - "GET /assets/HeatmapCell-CVOJC_eX.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:53777 - "GET /api/v1/metrics/app-store HTTP/1.1" 200 OK
INFO:     127.0.0.1:64870 - "GET /api/v1/history/ios_app_store HTTP/1.1" 200 OK
INFO:     127.0.0.1:62128 - "GET /api/v1/history/google_play HTTP/1.1" 200 OK
INFO:     127.0.0.1:50096 - "GET /api/v1/reviews/top HTTP/1.1" 200 OK
INFO:     127.0.0.1:50096 - "GET /api/v1/reviews/top?operator_slug=freshbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:50096 - "GET /assets/GooglePage-BNEqhi70.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:62128 - "GET /assets/x-BZmEiDR5.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:50096 - "GET /api/v1/metrics/google-reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:62128 - "GET /api/v1/history/google_reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:64870 - "GET /api/v1/reviews/top?source=google_reviews HTTP/1.1" 200 OK
INFO:     127.0.0.1:64870 - "GET /assets/RedbusPage-CEzi7-E1.js HTTP/1.1" 304 Not Modified
INFO:     127.0.0.1:64870 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:56411 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62985 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64179 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51512 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:63491 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54527 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61528 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62984 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64840 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57329 - "GET /api/v1/refresh/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:60332 - "GET /api/v1/metrics/redbus HTTP/1.1" 200 OK
INFO:     127.0.0.1:57659 - "GET /app-store HTTP/1.1" 200 OK
INFO:     127.0.0.1:63493 - "GET /assets/OverviewPage-DBXrq39N.js HTTP/1.1" 404 Not Found
